tau,adev,adev_err
5.000000000000000104e-03,3.043946130635120923e-05,9.640274120451014533e-07
1.000000000000000021e-02,7.008443017681256081e-06,3.140558411327014181e-07
1.499999999999999944e-02,1.011465576971890722e-05,5.559517609860846060e-07
2.500000000000000139e-02,5.635004739376656684e-06,4.004623490341210000e-07
2.999999999999999889e-02,2.185564009151517335e-06,1.701459273521881139e-07
4.000000000000000083e-02,1.700997397714610866e-06,1.533737702167586101e-07
5.999999999999999778e-02,1.363875235911259466e-06,1.506148236773716876e-07
8.000000000000000167e-02,1.074192197841730085e-06,1.375362174599152143e-07
1.049999999999999961e-01,9.698228561156449007e-07,1.429925790294200716e-07
1.449999999999999900e-01,7.763495633850244277e-07,1.351451121962944785e-07
1.950000000000000067e-01,4.730887434760127197e-07,9.656883538088959982e-08
2.650000000000000133e-01,5.069614376203274967e-07,1.229562091425640854e-07
3.599999999999999867e-01,4.263945372434410696e-07,1.230895004292432751e-07
4.899999999999999911e-01,4.051435620848037118e-07,1.350478540282679569e-07
6.650000000000000355e-01,3.896026567666417327e-07,1.590546185851607021e-07
9.050000000000000266e-01,2.416028630590167052e-07,1.208014315295083526e-07
1.225000000000000089e+00,1.712654787582452386e-07,9.888017026396303854e-08
